adult,budget,id,imdb_id,original_language,overview,popularity,release_date,revenue,status,tagline,title,video,vote_average,vote_count,filename
False,356000000,299534,tt4154796,en,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",235.886,2019-04-24,2797800564,Released,Part of the journey is the end.,Avengers: Endgame,False,8.3,15726,endgame.csv
False,63000000,603,tt0133093,en,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",60.168,1999-03-30,463517383,Released,Welcome to the Real World.,The Matrix,False,8.1,18067,the_matrix.csv
False,150000000,604,tt0234215,en,"Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target.",47.752,2003-05-15,738599701,Released,Free your mind.,The Matrix Reloaded,False,6.9,7307,the_matrix.csv
False,150000000,605,tt0242653,en,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,35.021,2003-11-03,424988211,Released,Everything that has a beginning has an end.,The Matrix Revolutions,False,6.6,6561,the_matrix.csv
False,0,586592,tt8816194,en,"After receiving a cryptic letter from his estranged father, Norval travels to his dad’s oceanfront home for what he hopes will be a positive experience. If only he’d known the dark truth about his old man beforehand.",18.766,2019-09-05,57998,Released,From The Team Behind The Witch And The Greasy Strangler,Come to Daddy,False,5.9,188,come_to_daddy.csv
False,0,624860,tt10838180,en,The fourth installment in The Matrix franchise. Plot unknown.,18.39,2021-12-22,0,In Production,,The Matrix 4,False,0.0,0,the_matrix.csv
False,0,14543,tt0295432,en,The film goes behind the scenes of the 1999 sci-fi movie The Matrix.,15.297,2001-11-19,0,Released,,The Matrix Revisited,False,6.9,128,the_matrix.csv
False,25000000,12211,tt0144964,en,"Immortals Connor and Duncan Macleod join forces against a man from Connor's distant past in the highlands of Scotland, Kell, an immensely powerful immortal who leads an army of equally powerful and deadly immortal swordsmen and assassins. No immortal alive has been able to defeat Kell yet, and neither Connor nor Duncan are skilled enough themselves to take him on and live. The two of them eventually come to one inevitable conclusion; one of them must die so that the combined power of both the Highlanders can bring down Kell for good. There can be only one... the question is, who will it be?",12.823,2000-09-01,15843608,Released,"It will take two immortals to defeat the ultimate evil. But in the end, there can be only one.",Highlander: Endgame,False,4.8,240,endgame.csv
False,0,400605,tt5481404,en,Investigative reporter Chase Carter must stop a secret government conspiracy in the zombie infested quarantine zone of East Mission City.,11.300999999999998,2016-06-20,0,Released,,Dead Rising: Endgame,False,4.9,112,endgame.csv
False,0,41135,tt1268987,en,A battle ensues among two government spy teams in an underground facility after their boss is assassinated.,9.987,2010-07-20,0,Released,Two rival teams of assassins. One killer day at the office.,Operation: Endgame,False,5.1,120,endgame.csv
False,0,591955,tt1830850,en,The making of The Matrix Reloaded:  Go to the middle movies furthest reaches via five documentary paths revealing 21 featurettes,6.509,2004-12-07,0,Released,,The Matrix Reloaded Revisited,False,7.4,5,the_matrix.csv
False,0,376651,tt2941396,en,"Since he was 5 yrs old, Jose's abuelita taught him to play chess like his grandfather who was a champion in Mexico. Now as part of the Brownsville school team, Jose has the chance to use his skills and for once in his life, finds himself in the spotlight, as he tries to help his team make it to the Texas state finals. As their coach, Mr. Alvarado, teaches his students the meaning of perseverance and team effort in the face of adversity, Jose discovers his own strengths and uses them to bring his broken family together.",6.405,2015-09-25,0,Released,,Endgame,False,6.0,7,endgame.csv
False,0,290656,tt2350852,en,"When a group of friends come across an abandoned house in the barren desert, what follows is a terrifying tale of evil possession causing the friends to slowly turn against each other.",6.335,2014-08-18,0,Released,,Raised by Wolves,False,4.1,10,raised_by_wolves.csv
False,0,221495,tt0410519,en,"The making of Matrix Revolutions, The (2003) is briefly touched on here in this documentary. Interviews with various cast and crew members inform us how they were affected by the deaths of Gloria Foster and Aaliyah, and also delve into the making of the visual effects that takes up a lot of screen time. Written by Rhyl Donnelly",5.4110000000000005,2004-04-06,0,Released,,The Matrix Recalibrated,False,6.7,25,the_matrix.csv
False,22000000,15102,tt1217616,en,"The time is the late '80s, a crucial period in the history of South Africa. President P.W. Botha is hanging on to power by a thread as the African National Congress (ANC) takes up arms against  apartheid and the country tumbles toward insurrection. A British mining concern is convinced that their interests would be better served in a stable South Africa and they quietly dispatch Michael Young, their head of public affairs, to open an unofficial dialogue between the bitter rivals.  Assembling a reluctant yet brilliant team to pave the way to reconciliation by confronting obstacles that initially seem insurmountable, Young places his trust in ANC leader Thabo Mbeki and Afrikaner philosophy professor Willie Esterhuyse. It is their empathy that will ultimately serve as the catalyst for change by proving more powerful than the terrorist bombs that threaten to disrupt the peaceful dialogue.",4.854,2009-01-18,0,Released,,Endgame,False,6.0,28,endgame.csv
False,0,51491,tt0292502,en,"Sex is currency. It commands power and can instill fear. Tom, a young man with a troubled past finds himself sucked into a seedy underworld by George Norris, a now super villain with a sadistic streak. A helpless pawn in one of Norris's narcotic scams with a bent cop, Dunston, Tom is dragged deeper into a vicious circle of blood money, vice and ruthless violence from which their seems no way out. Until fate gives Tom a glimmer of hope. When Norris is killed in his apartment, Tom seizes his chance to escape. Terrified and covered in Norris's blood, Tom heads downstairs to his neighbors, Max and Nikki his new friends in the city. With going to the police out of the question, Max and Nikki speed Tom to their desolate cottage deep in the Welsh countryside. With the luxury of space, Tom begins to realize a long-forgotten dream; a return to happier times before his innocence was shattered. Suppressed emotion flood back provoked by Tom's attraction to Nikki...",4.787,2001-01-01,0,Released,Sex is currency... Death has no price,Endgame,False,4.8,9,endgame.csv
False,0,18312,tt1135489,en,"For the New World Order (NWO), a world government is just the beginning. Once in place they can engage their plan to exterminate 80% of the world's population, while enabling the 'elites' to live forever with the aid of advanced technology. For the first time, crusading filmmaker Alex Jones reveals their secret plan for humanity's extermination: Operation Endgame.",4.266,2007-11-01,0,Released,,Endgame: Blueprint for Global Enslavement,False,7.1,21,endgame.csv
False,5000,26214,tt1595473,en,"A shocking new 2 hour film by B.A. Brooks. This 2010 release is a follow up to ""The Decline And Fall Of America"" which was released in 2008. ""The American Matrix - Age Of Deception"" details news items that all people should be aware of such as the economic collapse of The United States and the formation of the a New World Order. See what has really been going on in America today.",3.985,2010-01-01,0,Released,,The American Matrix - Age Of Deception,False,5.0,9,the_matrix.csv
False,0,684735,tt0391319,en,"A look at Enter the Matrix: The game's story picks up just before The Matrix Reloaded and runs parallel to that of the film. Bend the rules of the Matrix with martial arts, pilot the fastest hovercraft in the fleet, or just fight with lots of guns.",3.706,2003-10-14,0,Released,,Making 'Enter the Matrix',False,6.0,1,the_matrix.csv
False,0,691329,,en,"Hamm is an ageing, blind tyrant who is confined to a wheelchair – but soon becomes locked in a bleakly funny and subversively devastating stalemate.  Endgame forms the first half of a double bill, performed alongside Samuel Beckett’s rarely-seen short play Rough for Theatre II.",3.367,2020-04-01,0,Released,,Endgame & Rough for Theatre II,False,0.0,0,endgame.csv
False,0,353227,tt0416821,en,"A group of high school/university students are staying in an abandoned insane asylum  as part of a school project field trip, which turns out to be haunted by the tormented spirits of it's previous inhabitants.",3.283,2004-09-04,0,Released,,Horror 102: Endgame,False,1.0,2,endgame.csv
False,0,720914,tt12292428,en,"What will the future be like in the year 2050? Endgame 2050 is a feature-length documentary that gives us a glimpse into that future, and it does not look good. Featuring musician Moby along with leading scientists, and created by physician turned environmentalist Sofia Pineda Ochoa, Endgame 2050 is an urgent call to action to tackle the existential crises bearing down on the planet.",3.188,2020-05-19,0,Released,Humanity's Last Chance is Now,Endgame 2050,False,10.0,1,endgame.csv
False,0,684731,tt5319604,en,"This making-of piece offers the standard mix of movie snippets, behind the scenes materials, and interviews from cast and crew on the making of the film.",2.914,2003-10-14,0,Released,,The Matrix Reloaded: Pre-Load,False,4.0,2,the_matrix.csv
False,0,28850,tt0089091,it,"In the year 2025, a nuclear holocaust has left New York City an irradiated, but not abandoned, wasteland. The ruined city is inhabited now by scavenger packs and telepathic mutants, who are persecuted by the elite survivors. Keeping the people pacified is the reality television program Endgame, where hunters and gladiators fight to the death.",2.492,1983-11-05,0,Released,A future world where violence explodes in duels to the death...,Endgame,False,5.3,23,endgame.csv
False,0,503880,tt1830851,en,"The making of The Matrix Revolutions: The cataclysmic final confrontation chronicled through six documentary pods revealing 28 featurettes",2.265,2004-12-07,0,Released,,The Matrix Revolutions Revisited,False,8.4,5,the_matrix.csv
False,0,371610,,en,"Since 1990 David Icke has been on an amazing journey of self and collective discovery to establish the real power behind apparently ""random"" world events like 9/11 and the ""war on terrorism"". Here he reveals that a network of interbreeding bloodlines manipulating through their web of interconnecting secret societies have been pursuing an agenda for thousands of years to impose a globally centralized fascist state with total control and surveillance of the population.  The attacks of September 11th - not the work of ""bin Laden"" - and the subsequent ""war on terrorism"" are a means through which this is designed to be achieved.  Over more than six hours and with hundreds of illustrations, David Icke also reveals the illusion that is life in this ""physical"" reality. How is the ""world"" a provable illusion - just a lucid dream? How do we create it and how can we change the dream to one that we would like to experience?",2.147,2004-10-05,0,Released,,David Icke - Secrets of the Matrix,False,0.0,0,the_matrix.csv
False,0,684431,tt0365467,en,"A promotional making-of documentary for the film Matrix, The (1999) that devotes its time to explaining the digital and practical effects contained in the film. This is very interesting, seeing as how they're giving away the cinematic secrets that they created solely for the this movie, that have now been spoofed and referenced in countless other films.",1.831,1999-09-21,0,Released,,Making 'The Matrix',False,7.3,3,the_matrix.csv
False,0,174615,tt0439783,en,"An hour long discussion on the philosophical concepts that inspired, and are presented in the trilogy. This is one of the two feature-length documentaries on disc number 8 of the 10-Disc Ultimate Set.",1.605,2004-12-07,0,Released,,Return to Source: The Philosophy of The Matrix,True,7.2,11,the_matrix.csv
False,0,684426,tt0371397,en,This documentary takes you though a comparison of the conceptual art and the final scenes.,1.429,1999-09-21,0,Released,,The Matrix: What Is the Concept?,False,6.0,2,the_matrix.csv
False,0,68139,tt0216736,en,"Hamm is blind and unable to stand; Clov, his servant, is unable to sit; Nagg and Nell are his father and mother, who are legless and live in dustbins. Together they live in a room with two windows, but there may be nothing at all outside.",1.092,2000-09-10,0,Released,,Endgame,False,6.7,3,endgame.csv
False,0,274866,,en,"Disc 8 of 10 of 'The Matrix: Ultimate Edition': Probe the philosophical and technological inspirations of The Matrix Trilogy through two insightful documentaries:  - Return to Source: Philosophy &amp; The Matrix documentary – Scholars, philosophers and theorists deconstruct the intellectual underpinnings of the trilogy  - The Hard Problem: The Science Behind the Fiction documentary – Is the notion of a real Matrix plausible? An investigation of the technologies that inspire the metaphor of the Matrix.",1.063,2004-12-07,0,Released,,The Roots of the Matrix,False,7.5,2,the_matrix.csv
False,0,718185,,en,"The Bishop Carroll TV Broadcasting class faces its most dangerous challenge yet when their new broadcast is completely erased. The senior Class of 2020 takes the reigns to save the broadcast, but in the process faces a dangerous journey through time and must reflect on the unavoidable and emotional end of their high school career.",1.036,2020-07-10,0,Released,It All Ends,BCTV: Endgame,False,6.0,2,endgame.csv
False,0,233407,tt0365162,en,An adaptation of Samuel Beckett's play.,0.999,1989-01-01,0,Released,,Endgame,False,0.0,0,endgame.csv
False,0,344225,tt0274085,en,"A spoof created for the 2000 MTV Movie Awards, combining The Matrix and ""Sex in the City"".",0.84,2000-01-01,0,Released,,Sex and the Matrix,False,7.0,2,the_matrix.csv
False,0,696109,tt9847360,en,"Are we in fact living in a simulation? This is the question postulated, wrestled with, and ultimately argued for in the latest provocation from acclaimed documentary stylist Rodney Ascher (Room 237, The Nightmare) through archival footage, compelling interviews with real people shrouded in digital avatars, and a collection of cases from some of our most iconoclastic figures in contemporary culture.",0.804,,0,Released,"Documentary filmmaker Rodney Ascher tackles this question ""are we living in a simulation?"" with testimony, philosophical evidence and scientific explanation in his for the answer.",A Glitch In The Matrix,False,0.0,0,the_matrix.csv
False,0,505806,,en,"In 'A Glitch in the Matrix', journalist David Fuller analyzes and assesses Dr. Jordan B Peterson's recent viral interview with Cathy Newman, unpacking the deeper political, psychological and archetypal levels of the clash.",0.738,2018-02-17,0,Released,"Jordan Peterson, the Intellectual Dark Web & the Mainstream Media",A Glitch in the Matrix,False,6.0,2,the_matrix.csv
False,0,320200,tt0299847,en,An ordinary chess game between a man and a woman turns into a battle of the sexes.,0.6,1999-12-01,0,Released,,Endgame,False,7.0,2,endgame.csv
False,0,401828,tt6206168,en,"After a tough week at the office, Richard and George like to play war games over the weekend to relax. The dispassionate atmosphere and minimalistic style with which the growing brutality is handled slowly wipes the smile from your face, before making sure that it doesn’t return.",0.6,2015-01-01,0,Released,,Endgame,False,0.0,0,endgame.csv
False,0,684428,tt0371396,en,"Special Effects wizard John Gaeta demonstrates how the ""Bullet-Time"" effects were created for the film Matrix, The (1999).",0.6,1999-09-21,0,Released,,The Matrix: What Is Bullet-Time?,False,0.0,0,the_matrix.csv
False,0,545817,tt12861690,en,"To mark the centenary of Benjamin Britten's birth, Britten’s Endgame explores the composer's creativity in the face of death.  Those closest to him watched anxiously as he raced to complete his final opera, Death in Venice, in defiance of medical advice, tackling an edgy subject with many resonances in his own life.  His eventual heart operation left him incapacitated and prematurely old and frail, yet somehow he rediscovered his creative urge to produce two late masterpieces. This is a rich and poignant film about Britten’s final years, and the impact of what Peter Pears called 'an evil opera'.",0.6,2015-01-01,0,Released,,Britten's Endgame,False,0.0,0,endgame.csv
False,200,756462,,en,Set One Year Later After Halloween The Hunt (2020)... John and the infamous Michael Myers reunite one last time.,0.6,2021-07-04,0,In Production,It All Ends Here,Halloween Endgame,False,0.0,0,endgame.csv
False,0,756793,tt9322990,en,A Father's cautionary tale about internet safety turns sinister when the lines between truth and fiction are blurred.,0.6,,0,Released,,Endgame,False,0.0,0,endgame.csv
