New header,#,New header,Name,Market CapMCap,"Price
Price",Change,7D Prediction,Volume,Transparent Volume,Circulating Supply,Price,CSV Data,New header
,1,,"Bitcoin
BTC","$340,044,809,796$340.04B","$18,330.15$18,330
-2.86%",-2.86%,Unlock,"$32,068,247,29532.07B USD
1,749,481 BTC1.75M BTC",$5.38B17%,"Sply:18,551,118",,Buy Data,
,2,,"Ethereum
ETH","$61,032,301,221$61.03B","$537.58$537.58
-0.36%",-0.36%,—,"$17,752,286,17017.75B USD
33,022,806 ETH33.02M ETH",$2.57B14%,"Sply:113,532,297",,Buy Data,
,3,,"Ripple
XRP","$19,800,287,027$19.80B","$0.436821$0.436821
5.44%",5.44%,—,"$14,877,609,23514.88B USD
34.06B XRP34.06B XRP",$2.49B17%,"Sply:45,328,155,123",,Buy Data,
,4,,"Tether
USDT","$18,475,616,256$18.48B","$1.0000$1.0000
-0.56%",-0.56%,—,"$65,262,997,48465.26B USD
65.26B USDT65.26B USDT",$7.52B12%,"Sply:18,475,594,248",,Buy Data,
,5,,"ChainLink
LINK","$5,632,014,049$5.63B","$14.31$14.31
-5.27%",-5.27%,—,"$1,869,014,1311.87B USD
130,588,261 LINK130.59M LINK",$369.85M20%,"Sply:393,509,556",,Buy Data,
,6,,"Litecoin
LTC","$5,452,346,606$5.45B","$82.71$82.71
-2.75%",-2.75%,—,"$4,540,258,4284.54B USD
54,896,414 LTC54.90M LTC",$488.17M11%,"Sply:65,924,502",,Buy Data,
,7,,"Bitcoin Cash
BCH","$5,217,849,916$5.22B","$280.84$280.84
-4.95%",-4.95%,—,"$4,487,613,6204.49B USD
15,979,323 BCH15.98M BCH",$301.85M7%,"Sply:18,579,521",,Buy Data,
,8,,"Polkadot
DOT","$5,078,683,294$5.08B","$5.4384$5.4384
-4.22%",-4.22%,—,"$969,690,467969.69M USD
178,303,427 DOT178.30M DOT",$92.54M10%,"Sply:933,851,229",,Buy Data,
,9,,"Binance Coin
BNB","$4,402,937,393$4.40B","$29.77$29.77
-1.88%",-1.88%,—,"$496,617,705496.62M USD
16,680,180 BNB16.68M BNB",$152.70M31%,"Sply:147,883,948",,Buy Data,
,10,,"Cardano
ADA","$4,168,343,690$4.17B","$0.133977$0.133977
4.20%",4.20%,—,"$1,455,894,8851.46B USD
10.87B ADA10.87B ADA",$313.98M22%,"Sply:31,112,484,646",,Buy Data,
,11,,"Bitcoin SV
BSV","$3,292,345,606$3.29B","$177.22$177.22
-7.86%",-7.86%,—,"$1,235,382,0401.24B USD
6,970,818 BSV6.97M BSV",$68.32M6%,"Sply:18,577,527",,Buy Data,
,12,1,"USD Coin
USDC","$2,897,270,835$2.90B","$1.0006$1.0006
-0.22%",-0.22%,—,"$576,945,347576.95M USD
576,617,264 USDC576.62M USDC",$148.08M26%,"Sply:2,895,623,277",,Buy Data,
,13,1,"EOS
EOS","$2,861,527,566$2.86B","$3.0198$3.0198
-3.97%",-3.97%,—,"$4,305,805,4104.31B USD
1.43B EOS1.43B EOS",$278.94M6%,"Sply:947,602,201",,Buy Data,
,14,,"Wrapped Bitcoin
WBTC","$2,283,598,070$2.28B","$18,377.53$18,378
-2.48%",-2.48%,—,"$53,561,49853.56M USD
2,915 WBTC2,915 WBTC",$6.63M12%,"Sply:124,260",,Buy Data,
,15,,"Monero
XMR","$2,197,680,057$2.20B","$123.72$123.72
-3.96%",-3.96%,—,"$600,751,481600.75M USD
4,855,928 XMR4.86M XMR",$39.36M7%,"Sply:17,764,045",,Buy Data,
,16,,"Stellar
XLM","$2,151,460,408$2.15B","$0.102343$0.102343
-0.81%",-0.81%,—,"$610,067,350610.07M USD
5.96B XLM5.96B XLM",$162.53M27%,"Sply:21,022,140,436",,Buy Data,
,17,,"TRON
TRX","$2,026,905,067$2.03B","$0.028285$0.028285
-3.42%",-3.42%,—,"$1,500,692,6671.50B USD
53.06B TRX53.06B TRX",$169.85M11%,"Sply:71,660,220,128",,Buy Data,
,18,1,"Compound Dai
CDAI","$1,758,341,889$1.76B","$0.021602$0.021602
4.40%",4.40%,—,"$8,069,2578.07M USD
373,542,316 CDAI373.54M CDAI",0%,"Sply:81,397,210,364",,Buy Data,
,19,1,"OKEx Utility Token
OKB","$1,706,533,100$1.71B","$6.1940$6.1940
5.20%",5.20%,—,"$174,804,128174.80M USD
28,221,337 OKB28.22M OKB","$40,662<1%","Sply:275,512,058",,Buy Data,
,20,2,"Tezos
XTZ","$1,696,754,143$1.70B","$2.2597$2.2597
-2.74%",-2.74%,—,"$298,397,258298.40M USD
132,051,655 XTZ132.05M XTZ",$73.14M25%,"Sply:750,875,508",,Buy Data,
,21,1,"HEX
HEX","$1,580,940,070$1.58B","$0.004146$0.004146
-7.28%",-7.28%,—,"$4,723,1944.72M USD
1.14B HEX1.14B HEX","$15,759<1%","Sply:381,354,052,169",,Buy Data,
,22,1,"Crypto.com Chain
CRO","$1,544,002,945$1.54B","$0.070778$0.070778
-3.56%",-3.56%,—,"$56,699,74156.70M USD
801,088,433 CRO801.09M CRO",$2.29M4%,"Sply:21,814,611,871",,Buy Data,
,23,,"Cosmos
ATOM","$1,299,771,580$1.30B","$5.4492$5.4492
-5.45%",-5.45%,—,"$415,092,543415.09M USD
76,175,250 ATOM76.18M ATOM",$28.57M7%,"Sply:238,526,147",,Buy Data,
,24,1,"UNUS SED LEO
LEO","$1,259,001,608$1.26B","$1.2924$1.2924
0.93%",0.93%,—,"$16,787,97016.79M USD
12,989,270 LEO12.99M LEO","$618,0854%","Sply:974,120,901",,Buy Data,
,25,1,"NEO
NEO","$1,212,381,773$1.21B","$17.19$17.19
-3.94%",-3.94%,—,"$573,044,553573.04M USD
33,336,721 NEO33.34M NEO",$39.85M7%,"Sply:70,530,000",,Buy Data,
,26,5,"Celsius
CEL","$1,199,642,002$1.20B","$2.3403$2.3403
1.35%",1.35%,—,"$6,420,8226.42M USD
2,743,566 CEL2.74M CEL",$1.54M24%,"Sply:512,597,457",,Buy Data,
,27,1,"NEM
XEM","$1,168,798,834$1.17B","$0.129867$0.129867
-6.01%",-6.01%,—,"$49,234,68149.23M USD
379,117,519 XEM379.12M XEM",$11.41M23%,"Sply:8,999,999,999",,Buy Data,
,28,1,"Filecoin
FIL","$1,130,325,572$1.13B","$28.96$28.96
-4.39%",-4.39%,—,"$295,779,412295.78M USD
10,214,456 FIL10.21M FIL",$33.33M11%,"Sply:39,034,702",,Buy Data,
,29,1,"Dai
DAI","$1,022,853,096$1.02B","$1.0034$1.0034
-0.80%",-0.80%,—,"$93,728,41293.73M USD
93,411,285 DAI93.41M DAI",$20.38M22%,"Sply:1,019,392,297",,Buy Data,
,30,1,"Huobi Token
HT","$984,309,208$984.31M","$4.2178$4.2178
-2.10%",-2.10%,—,"$169,740,503169.74M USD
40,243,892 HT40.24M HT","$115,283<1%","Sply:233,370,545",,Buy Data,
,31,1,"VeChain Thor
VET","$878,944,182$878.94M","$0.013553$0.013553
-3.85%",-3.85%,—,"$173,642,950173.64M USD
12.81B VET12.81B VET",$45.54M26%,"Sply:64,850,448,123",,Buy Data,
,32,,"Dash
DASH","$873,879,058$873.88M","$88.94$88.94
-1.71%",-1.71%,—,"$645,999,265646.00M USD
7,263,409 DASH7.26M DASH",$48.99M8%,"Sply:9,825,616",,Buy Data,
,33,2,"IOTA
IOT","$847,006,348$847.01M","$0.304730$0.304730
-0.68%",-0.68%,—,"$53,446,86653.45M USD
175,390,874 IOT175.39M IOT",$29.75M56%,"Sply:2,779,530,283",,Buy Data,
,34,1,"Aave
AAVE","$817,027,416$817.03M","$68.92$68.92
-6.49%",-6.49%,—,"$162,217,354162.22M USD
2,353,535 AAVE2.35M AAVE",$37.55M23%,"Sply:11,853,866",,Buy Data,
,35,1,"Uniswap Protocol Token
UNI","$814,266,221$814.27M","$3.6315$3.6315
-5.01%",-5.01%,—,"$408,506,445408.51M USD
112,488,821 UNI112.49M UNI",$62.38M15%,"Sply:224,221,302",,Buy Data,
,36,,"yearn.finance
YFI","$754,822,636$754.82M","$25,160.75$25,161
-1.28%",-1.28%,—,"$1,098,805,8811.10B USD
43,671 YFI43,671 YFI",$417.59M38%,"Sply:30,000",,Buy Data,
,37,7,"Waves
WAVES","$742,180,728$742.18M","$7.4218$7.4218
17.33%",17.33%,—,"$196,249,859196.25M USD
26,442,328 WAVES26.44M WAVES",$70.57M36%,"Sply:100,000,000",,Buy Data,
,38,,"Bitcoin Vault
BTCV","$716,004,178$716.00M","$74.96$74.96
-3.94%",-3.94%,—,"$11,408,11211.41M USD
152,184 BTCV152,184 BTCV",$1.43M13%,"Sply:9,551,500",,Buy Data,
,39,,"Zcash
ZEC","$712,781,725$712.78M","$67.69$67.69
-4.22%",-4.22%,—,"$829,076,501829.08M USD
12,247,446 ZEC12.25M ZEC",$84.34M10%,"Sply:10,529,494",,Buy Data,
,40,3,"Ethereum Classic
ETC","$702,480,428$702.48M","$6.0392$6.0392
-6.90%",-6.90%,—,"$932,852,551932.85M USD
154,465,816 ETC154.47M ETC",$88.88M10%,"Sply:116,319,790",,Buy Data,
,41,2,"Binance USD
BUSD","$671,030,511$671.03M","$1.0047$1.0047
-0.20%",-0.20%,—,"$989,908,062989.91M USD
985,241,838 BUSD985.24M BUSD",$909.19M92%,"Sply:667,867,408",,Buy Data,
,42,1,"Compound Ether
CETH","$670,294,941$670.29M","$10.77$10.77
-1.31%",-1.31%,—,"$13,337,15913.34M USD
1,238,482 CETH1.24M CETH",0%,"Sply:62,243,267",,Buy Data,
,43,3,"Synthetix Network Token
SNX","$657,729,578$657.73M","$4.9639$4.9639
-7.60%",-7.60%,—,"$60,540,18760.54M USD
12,196,042 SNX12.20M SNX",$9.98M16%,"Sply:132,502,027",,Buy Data,
,44,2,"Theta Token
THETA","$647,303,023$647.30M","$0.647303$0.647303
-6.09%",-6.09%,—,"$35,154,92935.15M USD
54,309,848 THETA54.31M THETA",$14.73M42%,"Sply:1,000,000,000",,Buy Data,
,45,,"OMG Network
OMG","$535,472,133$535.47M","$3.8181$3.8181
-5.39%",-5.39%,—,"$325,149,265325.15M USD
85,159,778 OMG85.16M OMG",$81.38M25%,"Sply:140,245,398",,Buy Data,
,46,,"Maker
MKR","$494,883,285$494.88M","$544.33$544.33
-0.29%",-0.29%,—,"$50,242,48650.24M USD
92,302 MKR92,302 MKR",$6.37M13%,"Sply:909,167",,Buy Data,
,47,,"Compound
COMP","$468,477,366$468.48M","$118.76$118.76
-4.98%",-4.98%,—,"$112,032,591112.03M USD
943,352 COMP943,352 COMP",$16.03M14%,"Sply:3,944,735",,Buy Data,
,48,,"UMA
UMA","$448,972,424$448.97M","$8.0898$8.0898
-4.73%",-4.73%,—,"$10,483,09210.48M USD
1,295,840 UMA1.30M UMA",$1.98M19%,"Sply:55,498,535",,Buy Data,
,49,,"Dogecoin
DOGE","$427,529,939$427.53M","$0.003361$0.003361
-3.86%",-3.86%,—,"$157,553,140157.55M USD
46.88B DOGE46.88B DOGE",$15.71M10%,"Sply:127,210,353,975",,Buy Data,
,50,,"Ontology
ONT","$422,855,492$422.86M","$0.543118$0.543118
-4.37%",-4.37%,—,"$222,202,257222.20M USD
409,123,353 ONT409.12M ONT",$27.37M12%,"Sply:778,570,209",,Buy Data,
,51,,"Paxos Standard
PAX","$413,626,998$413.63M","$1.0029$1.0029
0.12%",0.12%,—,"$78,168,34978.17M USD
77,940,213 PAX77.94M PAX",$27.13M35%,"Sply:412,419,822",,Buy Data,
,52,,"Compound USD Coin
CUSDC","$392,728,634$392.73M","$0.023045$0.023045
-2.34%",-2.34%,—,"$16,202,25716.20M USD
703,080,438 CUSDC703.08M CUSDC",0%,"Sply:17,042,056,150",,Buy Data,
,53,,"FTX Token
FTT","$382,709,896$382.71M","$3.9906$3.9906
-0.96%",-0.96%,—,"$4,513,5644.51M USD
1,131,057 FTT1.13M FTT",$3.46M77%,"Sply:95,903,501",,Buy Data,
,54,,"Kusama
KSM","$348,973,602$348.97M","$38.86$38.86
-4.15%",-4.15%,—,"$28,704,10428.70M USD
738,639 KSM738,639 KSM",$3.29M11%,"Sply:8,980,098",,Buy Data,
,55,,"Basic Attention Token
BAT","$322,001,977$322.00M","$0.217373$0.217373
-2.69%",-2.69%,—,"$91,784,04491.78M USD
422,241,512 BAT422.24M BAT",$16.88M18%,"Sply:1,481,331,573",,Buy Data,
,56,5,"TrueUSD
TUSD","$307,563,958$307.56M","$1.0019$1.0019
-0.34%",-0.34%,—,"$111,695,652111.70M USD
111,482,897 TUSD111.48M TUSD",$25.02M22%,"Sply:306,978,118",,Buy Data,
,57,1,"DigiByte
DGB","$304,357,257$304.36M","$0.022101$0.022101
-2.24%",-2.24%,—,"$13,405,38513.41M USD
606,558,478 DGB606.56M DGB",$4.33M32%,"Sply:13,771,365,493",,Buy Data,
,58,,"0x
ZRX","$295,824,625$295.82M","$0.397647$0.397647
-2.68%",-2.68%,—,"$53,679,98353.68M USD
134,994,085 ZRX134.99M ZRX",$15.43M29%,"Sply:743,937,911",,Buy Data,
,59,2,"REN
REN","$295,332,687$295.33M","$0.335166$0.335166
-4.47%",-4.47%,—,"$61,266,37961.27M USD
182,794,038 REN182.79M REN",$16.23M26%,"Sply:881,153,019",,Buy Data,
,60,1,"Decred
DCR","$272,686,586$272.69M","$22.21$22.21
-3.51%",-3.51%,—,"$9,865,9279.87M USD
444,286 DCR444,286 DCR",$2.22M23%,"Sply:12,279,726",,Buy Data,
,61,1,"Qtum
QTUM","$260,891,503$260.89M","$2.5346$2.5346
-4.28%",-4.28%,—,"$256,478,063256.48M USD
101,190,519 QTUM101.19M QTUM",$24.03M9%,"Sply:102,931,792",,Buy Data,
,62,,"Zilliqa
ZIL","$257,125,473$257.13M","$0.022518$0.022518
-3.80%",-3.80%,—,"$38,002,01738.00M USD
1.69B ZIL1.69B ZIL",$13.52M36%,"Sply:11,418,620,749",,Buy Data,
,63,,"Algorand
ALGO","$239,567,462$239.57M","$0.298308$0.298308
-5.98%",-5.98%,—,"$153,740,542153.74M USD
515,375,984 ALGO515.38M ALGO",$30.59M20%,"Sply:803,088,849",,Buy Data,
,64,1,"Loopring
LRC","$227,943,109$227.94M","$0.191790$0.191790
-1.23%",-1.23%,—,"$25,885,54625.89M USD
134,968,186 LRC134.97M LRC",$7.15M28%,"Sply:1,188,503,731",,Buy Data,
,65,2,"Balancer
BAL","$226,865,099$226.87M","$16.66$16.66
4.07%",4.07%,—,"$70,297,56270.30M USD
4,219,767 BAL4.22M BAL",$11.86M17%,"Sply:13,618,080",,Buy Data,
,66,,"ICON
ICX","$221,231,623$221.23M","$0.385628$0.385628
-2.56%",-2.56%,—,"$25,393,46225.39M USD
65,849,621 ICX65.85M ICX",$9.53M38%,"Sply:573,691,704",,Buy Data,
,67,1,"Sushi
SUSHI","$211,095,639$211.10M","$1.5412$1.5412
-2.88%",-2.88%,—,"$124,879,365124.88M USD
81,027,485 SUSHI81.03M SUSHI",$24.29M19%,"Sply:136,968,576",,Buy Data,
,68,4,"Reserve Rights Token
RSR","$209,988,836$209.99M","$0.022464$0.022464
-9.85%",-9.85%,—,"$84,641,36184.64M USD
3.77B RSR3.77B RSR",$20.40M24%,"Sply:9,347,804,000",,Buy Data,
,69,1,"BitTorrent
BTT","$206,539,527$206.54M","$0.00031338$0.00031338
-1.31%",-1.31%,—,"$126,151,421126.15M USD
402.55B BTT402.55B BTT",$6.98M6%,"Sply:659,071,882,049",,Buy Data,
,70,2,"Kyber Network
KNC","$199,765,662$199.77M","$0.997571$0.997571
-0.96%",-0.96%,—,"$48,500,18048.50M USD
48,618,261 KNC48.62M KNC",$11.54M24%,"Sply:200,252,023",,Buy Data,
,71,2,"Hedera Hashgraph
HBAR","$198,197,826$198.20M","$0.032695$0.032695
0.41%",0.41%,—,"$3,850,5403.85M USD
117,773,156 HBAR117.77M HBAR",$1.59M41%,"Sply:6,062,105,263",,Buy Data,
,72,12,"Numeraire
NMR","$195,398,623$195.40M","$37.55$37.55
38.81%",38.81%,—,"$28,096,90128.10M USD
748,218 NMR748,218 NMR",$15.87M57%,"Sply:5,203,445",,Buy Data,
,73,1,"Blockstack
STX","$194,996,684$195.00M","$0.212444$0.212444
-1.94%",-1.94%,—,"$1,654,1771.65M USD
7,786,414 STX7.79M STX",$1.65M100%,"Sply:917,873,536",,Buy Data,
,74,1,"Sologenic
SOLO","$192,161,051$192.16M","$0.669556$0.669556
-3.61%",-3.61%,—,"$144,462144,462 USD
215,758 SOLO215,758 SOLO","$5,9424%","Sply:286,997,776",,Buy Data,
,75,4,"Thorchain
RUNE","$189,132,940$189.13M","$0.866803$0.866803
-7.79%",-7.79%,—,"$13,416,97913.42M USD
15,478,696 RUNE15.48M RUNE",$7.83M58%,"Sply:218,196,019",,Buy Data,
,76,,"NXM
NXM","$188,115,011$188.12M","$26.57$26.57
-2.28%",-2.28%,—,"$99 USD
0 NXM0 NXM",0%,"Sply:7,081,157",,Buy Data,
,77,3,"Ampleforth
AMPL","$181,991,856$181.99M","$1.0728$1.0728
-0.49%",-0.49%,—,"$8,683,6368.68M USD
8,094,497 AMPL8.09M AMPL","$260,0523%","Sply:169,644,657",,Buy Data,
,78,3,"Ocean Protocol
OCEAN","$179,031,199$179.03M","$0.515545$0.515545
-8.27%",-8.27%,—,"$32,546,36832.55M USD
63,129,972 OCEAN63.13M OCEAN",$11.89M37%,"Sply:347,265,615",,Buy Data,
,79,1,"WhiteCoin
XWC","$178,967,560$178.97M","$0.199026$0.199026
-2.26%",-2.26%,—,"$173,742173,742 USD
872,958 XWC872,958 XWC",0%,"Sply:899,214,990",,Buy Data,
,80,3,"Lisk
LSK","$175,915,517$175.92M","$1.2347$1.2347
-5.45%",-5.45%,—,"$5,173,5595.17M USD
4,190,252 LSK4.19M LSK",$2.69M52%,"Sply:142,480,303",,Buy Data,
,81,7,"Vitae
VITAE","$173,054,697$173.05M","$8.0308$8.0308
30.59%",30.59%,—,"$955,988955,988 USD
119,040 VITAE119,040 VITAE",0%,"Sply:21,548,934",,Buy Data,
,82,,"Luna
LUNA","$165,269,346$165.27M","$0.349677$0.349677
0.30%",0.30%,—,"$10,282,90610.28M USD
29,406,855 LUNA29.41M LUNA",$3.65M36%,"Sply:472,634,063",,Buy Data,
,83,2,"Bitcoin Gold
BTG","$162,109,383$162.11M","$9.2560$9.2560
-5.47%",-5.47%,—,"$11,151,38311.15M USD
1,204,770 BTG1.20M BTG",$1.65M15%,"Sply:17,513,924",,Buy Data,
,84,5,"Quant
QNT","$159,831,048$159.83M","$12.93$12.93
-11.85%",-11.85%,—,"$6,649,9866.65M USD
514,143 QNT514,143 QNT",0%,"Sply:12,357,323",,Buy Data,
,85,2,"Band Protocol
BAND","$151,817,255$151.82M","$6.7271$6.7271
-4.75%",-4.75%,—,"$136,108,667136.11M USD
20,232,946 BAND20.23M BAND",$47.62M35%,"Sply:22,568,073",,Buy Data,
,86,5,"Aragon Network Token
ANT","$145,516,478$145.52M","$4.2005$4.2005
23.51%",23.51%,—,"$47,321,59847.32M USD
11,265,717 ANT11.27M ANT",$9.71M21%,"Sply:34,642,691",,Buy Data,
,87,1,"Nexo
NEXO","$138,873,396$138.87M","$0.247988$0.247988
-0.42%",-0.42%,—,"$8,486,6678.49M USD
34,222,061 NEXO34.22M NEXO","$288,9083%","Sply:560,000,010",,Buy Data,
,88,1,"Enjin Coin
ENJ","$132,010,409$132.01M","$0.143003$0.143003
-3.83%",-3.83%,—,"$9,597,2969.60M USD
67,112,554 ENJ67.11M ENJ",$3.54M37%,"Sply:923,130,411",,Buy Data,
,89,4,"Siacoin
SC","$131,340,604$131.34M","$0.002914$0.002914
-6.61%",-6.61%,—,"$4,496,2014.50M USD
1.54B SC1.54B SC",$2.10M47%,"Sply:45,070,642,992",,Buy Data,
,90,1,"Status
SNT","$127,823,528$127.82M","$0.032940$0.032940
7.27%",7.27%,—,"$60,819,24260.82M USD
1.85B SNT1.85B SNT",$5.44M9%,"Sply:3,880,483,788",,Buy Data,
,91,1,"Elrond
EGLD","$115,754,782$115.75M","$8.0041$8.0041
-2.62%",-2.62%,—,"$14,326,46314.33M USD
1,789,900 EGLD1.79M EGLD",$7.17M50%,"Sply:14,462,010",,Buy Data,
,92,4,"Nano
NANO","$114,444,816$114.44M","$0.858884$0.858884
2.21%",2.21%,—,"$12,903,58812.90M USD
15,023,669 NANO15.02M NANO",$5.32M41%,"Sply:133,248,290",,Buy Data,
,93,,"Arweave
AR","$113,424,754$113.42M","$2.5881$2.5881
-3.30%",-3.30%,—,"$3,072,9493.07M USD
1,187,341 AR1.19M AR",0%,"Sply:43,825,615",,Buy Data,
,94,6,"Golem
GNT","$110,185,943$110.19M","$0.111224$0.111224
1.81%",1.81%,—,"$14,268,44414.27M USD
128,286,050 GNT128.29M GNT",$1.81M13%,"Sply:990,670,000",,Buy Data,
,95,1,"Bytom
BTM","$109,207,723$109.21M","$0.066749$0.066749
-5.77%",-5.77%,—,"$24,418,37924.42M USD
365,826,418 BTM365.83M BTM","$403,5722%","Sply:1,636,106,625",,Buy Data,
,96,4,"Decentraland
MANA","$109,074,500$109.07M","$0.082173$0.082173
-7.21%",-7.21%,—,"$23,854,03323.85M USD
290,289,477 MANA290.29M MANA",$3.07M13%,"Sply:1,327,372,146",,Buy Data,
,97,2,"TerraKRW
KRT","$108,548,376$108.55M","$0.00088780$0.00088780
0.00%",0.00%,—,"$17,77717,777 USD
20,023,936 KRT20.02M KRT",0%,"Sply:122,266,323,755",,Buy Data,
,98,,"SwissBorg
CHSB","$105,151,773$105.15M","$0.113669$0.113669
-4.22%",-4.22%,—,"$1,027,8521.03M USD
9,042,506 CHSB9.04M CHSB","$774,27775%","Sply:925,070,377",,Buy Data,
,99,2,"Bitcoin Diamond
BCD","$104,145,063$104.15M","$0.553501$0.553501
-3.36%",-3.36%,—,"$3,022,3943.02M USD
5,460,502 BCD5.46M BCD","$296,63910%","Sply:188,156,898",,Buy Data,
,100,5,"Helium
HNT","$102,507,645$102.51M","$1.6774$1.6774
-10.63%",-10.63%,—,"$1,747,9121.75M USD
1,042,049 HNT1.04M HNT",$1.23M70%,"Sply:61,111,767",,Buy Data,
